1000268201_693b08cb0e.jpg#0	ピンクのドレスを着た子供は、入り口で階段を登っています。
1028205764_7e8df9a2ea.jpg#2	穏やかな水を通して男と子供のカヤック。
1028205764_7e8df9a2ea.jpg#3	黄色いカヤックに乗っている男と少年。
1028205764_7e8df9a2ea.jpg#4	黄色いカヤックの男と子供
1030985833_b0902ea560.jpg#0	黒い犬と茶色の犬が飛び上がって赤いおもちゃを捕まえています。
1030985833_b0902ea560.jpg#1	黒い犬と茶色の犬が中庭で赤いおもちゃで遊んでいます。
1030985833_b0902ea560.jpg#2	茶色と黒のラボが外にあり、黒いラボは口の中でおもちゃを捕まえています。
1030985833_b0902ea560.jpg#3	茶色の犬が突進するにつれて、黒犬は赤と黒の物体にスナップします。
1030985833_b0902ea560.jpg#4	チョコレートラボは、ブラックラボが私道でそれをキャプチャするので、おもちゃを手に入れるには遅すぎます。
103106960_e8a41d64f8.jpg#0	ゴールキーパーネットの前にひざまずく棒を持つ少年
103106960_e8a41d64f8.jpg#1	ゴールを守るストリートホッケーを演奏する赤いジャケットを着た子供。
103106960_e8a41d64f8.jpg#2	ホッケーリンクでゴールキーパーを演じる幼い子供。
103106960_e8a41d64f8.jpg#3	ホッケーのゴールの前にひざまずいている若い男性が、右手にホッケーの棒を貼り付けます。
103106960_e8a41d64f8.jpg#4	レッドジャケットのホッケーゴールキーパーボーイは、ゴールごとにスティックをかきます。
103195344_5d2dc613a3.jpg#0	黒人の男は、ガラスの建物の前にある近代的な芸術構造の隣に座っています。
103195344_5d2dc613a3.jpg#1	男が座って新聞をオフィスビルの外に彫刻で読みます。
103195344_5d2dc613a3.jpg#2	男が大きな像の近くに座っています。
103195344_5d2dc613a3.jpg#3	建物の前にある金属製の彫刻の前に座っている男。
103195344_5d2dc613a3.jpg#4	バックパックを持つ男は、芸術彫刻の読書の前の建物の中庭に座っています。
103205630_682ca7285b.jpg#0	氷の上にテントが設置されています。
103205630_682ca7285b.jpg#1	2人の男性が雪に覆われた湖の上に氷の釣りのテントに入ろうとしています。
103205630_682ca7285b.jpg#2	湖の上にアイスに青い氷の釣り小屋を設置する2人の男性
103205630_682ca7285b.jpg#3	氷の上に立って、青いタープで覆われたものを見ている2人の男性。
103205630_682ca7285b.jpg#4	雪に覆われた表面の青いテントの構造の外に立っている2人。
1032122270_ea6f0beedb.jpg#0	女性が畑の3匹の犬の近くに身をかがめています。
1032122270_ea6f0beedb.jpg#1	3匹の犬が青い空で芝生の丘で遊んでいます。
1032122270_ea6f0beedb.jpg#2	3匹の犬が草の中に立っていて、1人が彼らの隣に座っています
1032122270_ea6f0beedb.jpg#3	芝生の丘の上の3匹の犬
1032122270_ea6f0beedb.jpg#4	3匹の犬が草で覆われた畑に立っている間、人が近くにひざまずきます。
1032460886_4a598ed535.jpg#0	男が高層ビルの前に立っています
1032460886_4a598ed535.jpg#1	男は高層ビルの前に立っています。
1032460886_4a598ed535.jpg#2	男が非常に背の高い建物の前に立っています。
1032460886_4a598ed535.jpg#3	赤いシャツを着た男の後ろには、大きな高層ビルがあります。
1032460886_4a598ed535.jpg#4	遠くには高層ビルがあり、カメラの前を歩いている男がいます。
1034276567_49bb87c51c.jpg#0	彼が外に座っている間、少年はおやつに激しく噛み付きます。
1034276567_49bb87c51c.jpg#1	焼き菓子に噛む子供。
1034276567_49bb87c51c.jpg#2	両手で何かを口に入れている小さな男の子。
1034276567_49bb87c51c.jpg#3	少年はテーブルで外で食べ物を食べます。
1034276567_49bb87c51c.jpg#4	少年はブリキの皿の上でピザを食べています。
104136873_5b5d41be75.jpg#0	人々は山腹に座って景色を確認してください。
104136873_5b5d41be75.jpg#1	緑の谷を見下ろす丘の上に3人がいます。
104136873_5b5d41be75.jpg#2	3人が大きな丘の上にたむろします。
104136873_5b5d41be75.jpg#3	3人が緑の谷を見落としています。
104136873_5b5d41be75.jpg#4	3人がムーペインの上の棚に眠ります。
1042020065_fb3d3ba5ba.jpg#0	緑のシャツを着た少年は、多くのインフレータブルボートを見下ろしています。
1042020065_fb3d3ba5ba.jpg#1	緑のシャツを着た少年はカヤッカーを監視しています。
1042020065_fb3d3ba5ba.jpg#2	少年は、水中の下の多くのボートとラフトで手すりを見渡します。
1042020065_fb3d3ba5ba.jpg#3	インフレータブルボートの群衆を見下ろす少年。
1042020065_fb3d3ba5ba.jpg#4	ジャージを着ている少年は、水中の多くのボートの棚を見下ろしています。
1042590306_95dea0916c.jpg#0	別の男性が見ている間、男性と女性がカメラのためにポーズをとります。
1042590306_95dea0916c.jpg#1	男性が、別の男性が見ている間、いくつかの建物の前で口まで女性の手を握っています。
1042590306_95dea0916c.jpg#2	写真のためにポーズをとる多民族のカップル
1042590306_95dea0916c.jpg#3	アジアの男性と金髪の女性は屋外で手を握っています。
1042590306_95dea0916c.jpg#4	別の男が見ている間に、黒い縞模様のジャケットの女の子の噛む青いシャツの男
1045521051_108ebc19be.jpg#0	小さなテレビを見ながら人がテイクアウトを食べます。
1045521051_108ebc19be.jpg#1	人が床に座って、テレビの前で食べます。
1045521051_108ebc19be.jpg#2	女の子の写真が付いたテレビ。
1045521051_108ebc19be.jpg#3	若い男がテレビのそばに座って、彼の前にファーストフードの食事をしています。
1045521051_108ebc19be.jpg#4	誰かがテレビの前に食べ物を食べている。
1048710776_bb5b0a5c7c.jpg#0	ビーチを見下ろす棚に座っている数人の人々
1048710776_bb5b0a5c7c.jpg#1	人々のグループがビーチの壁に座っています。
1048710776_bb5b0a5c7c.jpg#2	10代のグループがビーチのそばに壁に座っています。
1048710776_bb5b0a5c7c.jpg#3	ビーチの人々の群衆。
1048710776_bb5b0a5c7c.jpg#4	混雑したビーチの上にあるレールに座っている若い人たち。
1052358063_eae6744153.jpg#0	スケートボードの時計を持っている別の男の子の間、男の子がスケートボードにジャンプします。
1052358063_eae6744153.jpg#1	子供がスケートボードのトリックを実行していますが、スケートボードを持った別の子供が壁に寄りかかっています。
1052358063_eae6744153.jpg#2	別の若いスケートボーダーが見ている間、小さな男の子のスケートボーダーがボードでトリックをしています。
1052358063_eae6744153.jpg#3	スケートボードのプラットフォームにジャンプする少年のスケートボーダー。
1052358063_eae6744153.jpg#4	2人のスケートボーダー。
105342180_4d4a40b47f.jpg#0	彼女の後ろから見られるように、大きな川をパドリングしている少女。
105342180_4d4a40b47f.jpg#1	川をカヤキしている女性。
105342180_4d4a40b47f.jpg#2	女性は川を下るボートをパドルします。
105342180_4d4a40b47f.jpg#3	パドルを持つ女性。
105342180_4d4a40b47f.jpg#4	パドルを持った女性が水の上のボートに座っています。
1053804096_ad278b25f1.jpg#0	ピグテールの女の子が浅い水に飛び散ります。
1053804096_ad278b25f1.jpg#1	女の子がサーフで遊ぶ。
1053804096_ad278b25f1.jpg#2	ピグテールを持つ女の子がビーチで海で遊んでいます。
1053804096_ad278b25f1.jpg#3	ピグテールを持つ女の子が水中で遊んでいます。
1053804096_ad278b25f1.jpg#4	ピグテールの若い女の子が水中で遊んでいます。
1055623002_8195a43714.jpg#0	パジャマを着ている4人の子供のグループは枕と戦っています。
1055623002_8195a43714.jpg#1	子供のグループは枕の戦いをしています。
1055623002_8195a43714.jpg#2	ベッドで枕と戦っている幼い子供のグループ。
1055623002_8195a43714.jpg#3	枕の戦いをしている子供たち。
1055623002_8195a43714.jpg#4	4人の子供が枕の戦いをしています。
1055753357_4fa3d8d693.jpg#0	2人の構造労働者が梁に座って休憩します。
1055753357_4fa3d8d693.jpg#1	2人の建設労働者が建物の横に座っています。
1055753357_4fa3d8d693.jpg#2	iビームに座っている2人の建設労働者。
1055753357_4fa3d8d693.jpg#3	2人の建設労働者が鋼鉄の梁に座っています。
1055753357_4fa3d8d693.jpg#4	2人の男性が建設から休憩します。
1056249424_ef2a2e041c.jpg#0	子供たちは水中で遊んでいます。
1056249424_ef2a2e041c.jpg#1	黄色とオレンジ色のボールを備えた2人の男の子が、フィールドの前の水で遊んでいます。
1056249424_ef2a2e041c.jpg#2	二人の男の子が水たまりで遊ぶ。
1056249424_ef2a2e041c.jpg#3	晴れた日には、2人の子供が泥の中で風船で遊んでいます。
1056249424_ef2a2e041c.jpg#4	2人の子供が走って水で遊んでいます。
1056338697_4f7d7ce270.jpg#0	青いシャツを着た金髪の女性が乗るのを待つようです。
1056338697_4f7d7ce270.jpg#1	ブロンドの女性が路上でタクシーを呼んでいます。
1056338697_4f7d7ce270.jpg#2	女性は、後ろから見られるように、交通に合図しています。
1056338697_4f7d7ce270.jpg#3	青いチューブの上部を身に着けているブロンドの髪の女性が通りの側面に手を振っています。
1056338697_4f7d7ce270.jpg#4	青いドレスを着た女性は、近づいてくる交通で腕を抱きしめています。
1056359656_662cee0814.jpg#0	電車の乗り物でパンフレットを見ている小さな女の子
1056359656_662cee0814.jpg#1	手にマジジンを持つ若いブロンドの女の子
1056359656_662cee0814.jpg#2	電車に乗っている若い女の子が列車の乗り物に関する本を読みます。
1056359656_662cee0814.jpg#3	若い女の子が座席に座って、列車のパンフレットを見ます。
1056359656_662cee0814.jpg#4	電車に乗るパンフレットを見て座っている子供
1056873310_49c665eb22.jpg#0	茶色の犬が岩だらけの海岸で黒い犬を追いかけています。
1056873310_49c665eb22.jpg#1	茶色の犬が黒い犬を追いかけています。
1056873310_49c665eb22.jpg#2	ビーチで遊んでいる2匹の犬。
1056873310_49c665eb22.jpg#3	2匹の犬が水域の近くで石を駆け抜けます。
1056873310_49c665eb22.jpg#4	2匹の犬は、背景に水がある岩の多いエリアで互いに向かって走ります。
1057089366_ca83da0877.jpg#0	少年が高ダイビングボードの端から降ります。
1057089366_ca83da0877.jpg#1	子供が高ダイビングボードからプールに飛び降ります。
1057089366_ca83da0877.jpg#2	子供がダイビングボードから飛び降りて、下のスイミングプールに飛び込みます。
1057089366_ca83da0877.jpg#3	小さな子供がプールで高ダイビングから飛び降りています。
1057089366_ca83da0877.jpg#4	少年は高ダイビングボードからプールに飛び込んでいます。
1057210460_09c6f4c6c1.jpg#0	男が窓のそばに立って、オーバーシャ​​ツを脱いでいます。
1057210460_09c6f4c6c1.jpg#1	タンクトップの男がクロムのドアの隣に立っています。
1057210460_09c6f4c6c1.jpg#2	男がシャツをエレベーターの近くに置きます。
1057210460_09c6f4c6c1.jpg#3	男は頭を下げたエレベーターのそばに立っています。
1057210460_09c6f4c6c1.jpg#4	男はエレベーターの近くでシャツを着ています。
1057251835_6ded4ada9c.jpg#0	軽い色の犬がビーチで走ります。
1057251835_6ded4ada9c.jpg#1	小さな黄色の犬がビーチで走っています
1057251835_6ded4ada9c.jpg#2	黄褐色の犬が砂浜で走っています。
1057251835_6ded4ada9c.jpg#3	白い犬が岩だらけのビーチを走っています。
1057251835_6ded4ada9c.jpg#4	ビーチに沿って走る明るい茶色の犬。
106490881_5a2dd9b7bd.jpg#0	ビーチで青い水泳ショーツを着た少年。
106490881_5a2dd9b7bd.jpg#1	少年はビーチでカメラのために微笑みます。
106490881_5a2dd9b7bd.jpg#2	水泳の幹を着た少年は、ビーチで腕を伸ばして歩いています。
106490881_5a2dd9b7bd.jpg#3	ビーチで遊んでいる子供たち。
106490881_5a2dd9b7bd.jpg#4	少年は海の海岸で遊んでいます。
106514190_bae200f463.jpg#0	下の山を見下ろす塊の上に立っているハイカー。
106514190_bae200f463.jpg#1	スキーの人は雪に覆われた風景の上を丘から見ています
106514190_bae200f463.jpg#2	スキーヤーは雪に覆われた山を見下ろしています。
106514190_bae200f463.jpg#3	スキーヤーは、美しい白い雪に覆われた風景を見下ろしています。
106514190_bae200f463.jpg#4	スキーヤーは山頂で一時停止します。
1067180831_a59dc64344.jpg#0	黒と白の犬は、ローカットヤードで黄色と紫色の物体を捕まえようとしています。
1067180831_a59dc64344.jpg#1	黄色いおもちゃの後に黒と白の犬がジャンプします。
1067180831_a59dc64344.jpg#2	黒と白の犬がジャンプしてフリスビーを手に入れます。
1067180831_a59dc64344.jpg#3	黒犬が飛び上がって紫と緑のおもちゃを捕まえています。
1067180831_a59dc64344.jpg#4	犬がジャンプしておもちゃを捕まえます。
1067675215_7336a694d6.jpg#0	青いショートパンツの男が通りに横たわっています。
1067675215_7336a694d6.jpg#1	青いショートパンツの男が駐車場に横たわっています。
1067675215_7336a694d6.jpg#2	交通渋滞の間に通りの真ん中に横たわっている男。
1067675215_7336a694d6.jpg#3	男は、茶色のSUVと開いたドアのある黄色のピックアップの間の駐車場のマットの上に横たわっています。
1067675215_7336a694d6.jpg#4	上半身裸の男が忙しい通りの真ん中に横たわっています。
1067790824_f3cc97239b.jpg#0	砂地の地形の白と黒の犬と茶色の犬。
1067790824_f3cc97239b.jpg#1	羊毛の犬がビーチでドーバーマンを追いかけます。
1067790824_f3cc97239b.jpg#2	1匹の犬がビーチで別の犬を追いかけています。
1067790824_f3cc97239b.jpg#3	2匹の大きな犬は砂を駆け抜けています。
1067790824_f3cc97239b.jpg#4	ビーチでお互いを追いかけている2匹の大きな犬。
1072153132_53d2bb1b60.jpg#0	黒と白の犬が空中でおもちゃを捕まえます。
1072153132_53d2bb1b60.jpg#1	犬とテニスボール。
1072153132_53d2bb1b60.jpg#2	犬が飛び込んでジャンプして投げられている、
1072153132_53d2bb1b60.jpg#3	犬は草が茂ったフィールドを通してテニスボールを追いかけながら飛び出します。
1072153132_53d2bb1b60.jpg#4	芝生のフィールドでテニスボールをキャッチするためにジャンプするマルチカラー犬。
107318069_e9f2ef32de.jpg#0	夜に空気風船を見ている群衆。
107318069_e9f2ef32de.jpg#1	夜に照らされた熱気球のグループ。
107318069_e9f2ef32de.jpg#2	人々は公園で熱気球を見ています。
107318069_e9f2ef32de.jpg#3	熱気球を見ている人々。
107318069_e9f2ef32de.jpg#4	群衆の近くで夜間に7つの大きな風船が並んでいます。
1075716537_62105738b4.jpg#0	頭にヘルメットを持っている子供が自転車に乗っています。
1075716537_62105738b4.jpg#1	小さな男の子がミニチュアダートバイクで丘を下って自転車に乗っています。
1075716537_62105738b4.jpg#2	ヘルメットの少年が道路で自転車に乗っています。
1075716537_62105738b4.jpg#3	小さな男の子はレースで自転車に乗っています。
1075716537_62105738b4.jpg#4	BMXレースですぐに若い男の子をペダルします。
107582366_d86f2d3347.jpg#0	夜には8人のグループがテーブルの周りに集まっています。
107582366_d86f2d3347.jpg#1	暗闇の中で集まった人々のグループ。
107582366_d86f2d3347.jpg#2	人々のグループは、夜にポーチの上で外のテーブルの周りに座っています。
107582366_d86f2d3347.jpg#3	人々のグループは夜に一緒に屋外に座っています。
107582366_d86f2d3347.jpg#4	暗い部屋のテーブルに座っている人々のグループ。
1075867198_27ca2e7efe.jpg#0	茶色のシャツとダークショーツを着た男が、2匹の黒い犬と一緒にビーチで遊んでいます。
1075867198_27ca2e7efe.jpg#1	2匹の黒い犬を抱えたショートパンツの男が、ビーチにボールを投げるおもちゃを持っています。
1075867198_27ca2e7efe.jpg#2	ビーチで2匹の黒い犬と遊ぶ男
1075867198_27ca2e7efe.jpg#3	ビーチに2匹の犬を飼っている男
1075867198_27ca2e7efe.jpg#4	2匹の犬と一緒にビーチで男。
1075881101_d55c46bece.jpg#0	少年が顔から泡をきれいにします。
1075881101_d55c46bece.jpg#1	泡で覆われた少年は、顔をきれいに拭いています。
1075881101_d55c46bece.jpg#2	男の子は泡で覆われています。
1075881101_d55c46bece.jpg#3	泡で覆われた子供が黒い膨張式のランプに登っています。
1075881101_d55c46bece.jpg#4	石鹸水で覆われた人が掃除されています。
1077546505_a4f6c4daa9.jpg#0	青いショートパンツの少年がスライドをプールに滑り込ませます。
1077546505_a4f6c4daa9.jpg#1	青い水泳のトランクの少年が黄色のスライドを下りて、水に浮かぶインフレータブルなおもちゃを備えた水着のプールに滑り込みます。
1077546505_a4f6c4daa9.jpg#2	少年がスライドを下って小さな裏庭のプールに乗り込みます。
1077546505_a4f6c4daa9.jpg#3	カラフルなチューブのあるプールにスライドを滑らせる少年。
1077546505_a4f6c4daa9.jpg#4	子供は、水のプールに浮かぶ色付きの風船に滑り落ちます。
1077931201_1e0bb83105.jpg#0	ウェットスーツを着た男が、ウェットスーツを着ている赤ちゃんを空中に投げています。
1077931201_1e0bb83105.jpg#1	ウェットスーツを着た男が幼児を空中に投げ込んでおり、彼を捕まえる準備ができています。
1077931201_1e0bb83105.jpg#2	水を浴びている男は、彼が彼を捕まえることができるように、彼が降りてくるのを待っている小さな男の子を空中に投げ込みます。
1077931201_1e0bb83105.jpg#3	男はプールにいて、小さな男の子を空中に投げ込みます。
1077931201_1e0bb83105.jpg#4	水滴が飛ぶ間、男は小さな男の子を空中に投げます。
1079274291_9aaf896cc1.jpg#0	小さな男の子がカメラのために舌を突き出します。別の男の子が見ています。
1079274291_9aaf896cc1.jpg#1	2人の男の子が顔を作ります。
1079274291_9aaf896cc1.jpg#2	2人の若い男の子がカメラを見ています。1人は笑顔で、もう1人は舌を突き出します。
1079274291_9aaf896cc1.jpg#3	2人の若い男の子が舌を突き出してカメラを見上げます。
1079274291_9aaf896cc1.jpg#4	愚かな顔をしている2人の若い男の子。
10815824_2997e03d76.jpg#0	黒いスウェットシャツを着た金髪の馬とブロンドの女の子が、樽の中で火を見つめています。
10815824_2997e03d76.jpg#1	女の子と彼女の馬は火のそばに立っています。
10815824_2997e03d76.jpg#2	火の後ろで馬のリードを持っている少女。
10815824_2997e03d76.jpg#3	男、少女、2頭の馬が閉じ込められた火の近くにいます。
10815824_2997e03d76.jpg#4	2人と2頭の馬が火を見ています。
1082252566_8c79beef93.jpg#0	ブルドッグ、羊の犬、庭に立っているボクサー。
1082252566_8c79beef93.jpg#1	大きな茶色の犬が、アナウザーの犬が監視している間、彼の顔で小さなボストンテリアを押しています。
